City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,
462,Yokadouma,CM,80.78,light rain,3.5167,15.05,
463,Namatanai,PG,78.33,overcast clouds,-3.6667,152.4333,
464,Qunduz,AF,81.68,few clouds,36.729,68.857,
467,Nouadhibou,MR,76.98,overcast clouds,20.931,-17.0347,
468,Muisne,EC,77.79,overcast clouds,0.6,-80.0333,
473,Mahibadhoo,MV,79.9,overcast clouds,3.7833,72.9667,
475,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,
478,Broome,US,78.67,clear sky,42.2506,-75.833,
479,Gat,IL,89.4,clear sky,31.61,34.7642,
480,Vila Do Maio,CV,84.99,broken clouds,15.1333,-23.2167,
483,Celestun,MX,81.61,overcast clouds,20.8667,-90.4,
485,Liwale,TZ,75.09,overcast clouds,-9.7667,37.9333,
490,Santa Teresa,VE,76.57,overcast clouds,10.2341,-66.6631,
491,Stratford-Upon-Avon,GB,75.97,scattered clouds,52.1917,-1.7073,
492,Praia Da Vitoria,PT,76.75,few clouds,38.7333,-27.0667,
493,Thinadhoo,MV,79.21,overcast clouds,0.5333,72.9333,
494,Sibolga,ID,77.27,heavy intensity rain,1.7427,98.7792,
497,Progreso,MX,85.1,overcast clouds,21.2833,-89.6667,
500,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,
503,Calatayud,ES,84.43,scattered clouds,41.3535,-1.6432,
504,Shimoda,JP,78.1,overcast clouds,34.6667,138.95,
505,Lumeje,AO,88.03,few clouds,-11.55,20.7833,
506,Eyl,SO,77.9,broken clouds,7.9803,49.8164,
507,Ciudad Guayana,VE,81.25,broken clouds,8.3533,-62.6528,
508,Pozzallo,IT,86.65,clear sky,36.7305,14.8499,
514,Alice Town,BS,85.33,few clouds,25.7167,-79.3,
516,Cordoba,AR,78.42,overcast clouds,-31.4135,-64.1811,
519,Bridgetown,BB,86.49,scattered clouds,13.1,-59.6167,
521,Bol,TD,80.4,overcast clouds,13.4586,14.7147,
522,Santiago Del Estero,AR,81.45,clear sky,-27.7951,-64.2615,
523,Uong Bi,VN,85.98,light rain,21.0333,106.7833,
528,Monrovia,LR,80.06,overcast clouds,6.3005,-10.7969,
534,Qui Nhon,VN,81.14,broken clouds,13.7667,109.2333,
538,Bubaque,GW,79.29,moderate rain,11.2833,-15.8333,
539,Buchanan,LR,80.98,overcast clouds,5.8808,-10.0467,
544,Ribeira Brava,PT,79.43,broken clouds,32.65,-17.0667,
548,Alappuzha,IN,79.0,overcast clouds,9.49,76.3264,
549,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,
551,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,
554,Mormugao,IN,79.86,broken clouds,15.4,73.8,
556,Tateyama,JP,80.1,overcast clouds,34.9833,139.8667,
557,Jimeta,NG,83.41,moderate rain,9.2833,12.4667,
560,Hadejia,NG,86.85,overcast clouds,12.4498,10.0444,
564,Akdepe,TM,82.49,clear sky,42.0551,59.3788,
566,Hirara,JP,85.66,overcast clouds,24.8,125.2833,
567,Sao Filipe,CV,80.11,light rain,14.8961,-24.4956,
572,Sigiriya,LK,77.0,moderate rain,7.9518,80.7426,
576,Nata,PA,85.87,scattered clouds,8.3333,-80.5167,
577,Agartala,IN,84.22,mist,23.8364,91.275,
578,Amapa,BR,89.85,scattered clouds,1.0,-52.0,
579,Pasighat,IN,80.73,overcast clouds,28.0667,95.3333,
582,Libreville,GA,80.62,scattered clouds,0.3925,9.4537,
583,Amahai,ID,76.73,scattered clouds,-3.3333,128.9167,
584,Shugurovo,RU,76.75,clear sky,54.5083,52.1326,
586,Rongcheng,CN,79.02,light rain,30.634,117.8517,
589,Virginia Beach,US,86.05,overcast clouds,36.8529,-75.978,
591,Abbeville,FR,76.24,overcast clouds,50.1,1.8333,
592,Beroroha,MG,78.8,clear sky,-21.6667,45.1667,
593,Xuddur,SO,81.68,overcast clouds,4.1213,43.8894,
594,Cururupu,BR,83.93,clear sky,-1.8283,-44.8683,
595,Ferkessedougou,CI,82.27,light rain,9.6,-5.2,
597,Kardamas,GR,83.93,few clouds,37.7667,21.3333,
601,Nechi,CO,85.95,overcast clouds,8.0942,-74.7757,
602,Menongue,AO,87.01,clear sky,-14.6585,17.691,
605,Saint-Georges,GD,82.17,scattered clouds,12.0564,-61.7485,
606,Praya,CV,84.74,broken clouds,14.9215,-23.5087,
608,Puerto El Triunfo,SV,85.12,scattered clouds,13.2833,-88.55,
609,Nioro,GM,82.33,moderate rain,13.35,-15.75,
611,Arara,BR,77.02,broken clouds,-6.8283,-35.7583,
612,Uyo,NG,76.44,moderate rain,5.0333,7.9266,
613,Palasa,IN,81.7,broken clouds,18.7667,84.4167,
614,Kailua,US,78.15,clear sky,21.4022,-157.7394,
616,Ibotirama,BR,87.93,broken clouds,-12.1853,-43.2206,
618,Hope,US,79.99,clear sky,33.6671,-93.5916,
621,Pustoshka,RU,76.28,overcast clouds,56.3355,29.369,
623,Aransas Pass,US,88.99,clear sky,27.9095,-97.15,
625,Tamasane,BW,81.21,clear sky,-22.4184,27.4013,
626,Malakal,SS,81.36,light rain,9.5334,31.6605,
629,Ca Mau,VN,80.06,light rain,9.1769,105.15,
630,Romny,UA,83.01,overcast clouds,50.751,33.4747,
632,Berberati,CF,75.58,overcast clouds,4.2612,15.7922,
633,Khash,IR,80.49,few clouds,28.2211,61.2158,
636,Skhisma,GR,80.49,light rain,35.2667,25.7167,
640,San Patricio,US,88.84,clear sky,28.017,-97.5169,
641,Siayan,PH,76.21,overcast clouds,8.2667,123.1,
643,Bandundu,CD,85.15,broken clouds,-3.3167,17.3667,
647,Llano Largo,PA,81.18,overcast clouds,7.9,-80.4333,
648,Puerto Del Rosario,ES,82.15,few clouds,28.5004,-13.8627,
649,Honjo,JP,78.42,overcast clouds,36.2333,139.1833,
651,Karlskrona,SE,79.25,few clouds,56.1616,15.5866,
656,Antsohihy,MG,78.89,few clouds,-14.8796,47.9875,
657,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,
658,Carballo,ES,82.0,overcast clouds,43.213,-8.691,
659,Yenagoa,NG,75.92,moderate rain,4.9247,6.2642,
660,Tabou,CI,81.18,light rain,4.423,-7.3528,
661,San Pedro,PH,79.83,scattered clouds,14.35,121.0167,
664,Tarare,FR,80.73,scattered clouds,45.8976,4.4327,
670,Galle,LK,77.41,overcast clouds,6.0367,80.217,
671,Pili,PH,76.01,overcast clouds,13.5833,123.3,
672,Zenzeli,RU,82.62,clear sky,45.9241,47.0474,
674,Abu Zabad,SD,89.28,scattered clouds,12.35,29.25,
675,Palu,ID,75.79,overcast clouds,-0.8917,119.8707,
676,Mumford,GH,76.42,overcast clouds,5.2618,-0.759,
677,Kutum,SD,82.83,scattered clouds,14.2,24.6667,
679,Clarksburg,US,79.25,few clouds,39.2807,-80.3445,
682,Kalavad,IN,82.96,overcast clouds,22.2167,70.3833,
683,Mattru,SL,79.86,light rain,7.6244,-11.8332,
684,Jam Sahib,PK,85.33,broken clouds,26.2958,68.6292,
692,Bose,IT,83.25,overcast clouds,45.4612,8.0137,
693,Sabang,ID,82.6,overcast clouds,5.8933,95.3214,
694,Bato,PH,76.23,overcast clouds,13.3528,123.3677,
695,Hrodna,BY,81.21,overcast clouds,53.6884,23.8258,
697,Vung Tau,VN,81.46,overcast clouds,10.346,107.0843,
698,Seydi,TM,81.52,clear sky,39.4816,62.9137,
702,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,
703,Cam Ranh,VN,80.56,few clouds,11.9214,109.1591,
704,Balabac,PH,81.88,scattered clouds,7.9868,117.0645,
708,Pionerskiy,RU,82.24,overcast clouds,54.9508,20.2275,
709,Mao,ES,84.76,clear sky,39.8885,4.2658,
710,Shenjiamen,CN,80.08,overcast clouds,29.9576,122.298,
712,Santa Isabel,BR,78.51,broken clouds,-23.3156,-46.2214,
715,Kurkino,RU,81.57,broken clouds,53.4257,38.6582,
716,Tianpeng,CN,82.87,overcast clouds,30.9866,103.9393,
719,Sao Jose Da Coroa Grande,BR,78.53,overcast clouds,-8.8978,-35.1478,
721,Portobelo,PA,89.11,overcast clouds,9.55,-79.65,
723,Kandrian,PG,76.24,overcast clouds,-6.2167,149.55,
725,Am Timan,TD,81.43,light rain,11.0297,20.2827,
726,Puerto Narino,CO,88.36,broken clouds,-3.7703,-70.3831,
727,Roma,US,77.83,scattered clouds,43.2128,-75.4557,
728,Auki,SB,75.2,scattered clouds,-8.7676,160.7034,
730,Fuling,CN,81.68,broken clouds,29.7022,107.3919,
732,Zlitan,LY,83.25,clear sky,32.4674,14.5687,
737,Quang Ngai,VN,79.92,overcast clouds,15.1167,108.8,
740,Shenzhen,CN,85.21,broken clouds,22.5455,114.0683,Grand Skylight
