City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,La Macarena,CO,2.1837,-73.7849,79.93,69,69,2.26,broken clouds
163,Viedma,AR,-40.8135,-62.9967,61.72,20,100,18.16,overcast clouds
164,Luderitz,NA,-26.6481,15.1594,61.32,65,0,26.6,clear sky
165,Tra Vinh,VN,9.9347,106.3453,77.14,90,100,3.67,overcast clouds
166,Tevriz,RU,57.509,72.4042,60.03,81,39,6.4,light rain
167,Netrakona,BD,24.8833,90.7167,85.82,68,77,3.71,broken clouds
168,Mersing,MY,2.4312,103.8405,76.71,90,100,3.24,overcast clouds
169,Suez,EG,29.9737,32.5263,91.99,41,0,21.18,clear sky
170,Dikson,RU,73.5069,80.5464,40.96,87,98,17.05,overcast clouds
171,Mpika,ZM,-11.8343,31.4529,75.04,27,23,10.85,few clouds
172,Fort Nelson,CA,58.8053,-122.7002,60.85,87,75,4.07,light rain
173,Qaanaaq,GL,77.484,-69.3632,39.61,57,44,3.36,scattered clouds
174,Solnechnyy,RU,50.7214,136.6319,46.99,97,93,1.19,overcast clouds
175,Olafsvik,IS,64.8945,-23.7142,51.19,51,7,8.19,clear sky
176,Kribi,CM,2.95,9.9167,78.17,78,99,12.28,light rain
177,Lumphat,KH,13.4878,106.9816,74.21,97,84,1.21,broken clouds
178,Edd,ER,13.9297,41.6925,93.63,52,0,14.43,clear sky
179,Icara,BR,-28.7133,-49.3,79.7,49,0,3.89,clear sky
180,Matara,LK,5.9485,80.5353,76.98,87,96,14.32,overcast clouds
181,Esperance,AU,-33.8667,121.9,58.82,42,0,14.27,clear sky
182,Morris,US,40.8334,-74.5329,84.36,71,75,6.91,broken clouds
183,Peniche,PT,39.3558,-9.3811,79.09,88,55,10.71,broken clouds
184,Sorland,NO,67.667,12.6934,57.06,95,100,19.08,light rain
185,Kalush,UA,49.0119,24.3731,87.67,18,8,9.26,clear sky
186,Gravdal,NO,68.1214,13.5031,57.09,100,75,6.91,light rain
187,Carnarvon,AU,-24.8667,113.6333,66.27,72,0,15.9,clear sky
188,Marmande,FR,44.5,0.1667,86.76,62,93,8.95,overcast clouds
189,Horsham,GB,51.064,-0.3272,76.01,48,0,3.44,clear sky
190,Chinhoyi,ZW,-17.3667,30.2,79.83,18,0,1.77,clear sky
191,Karratha,AU,-20.7377,116.8463,67.95,48,6,1.03,light rain
192,Georgetown,MY,5.4112,100.3354,84.15,83,40,8.05,scattered clouds
193,Ivanovka,KG,42.8878,75.085,67.44,32,50,2.62,scattered clouds
194,Patiya,BD,22.2931,91.9762,82.35,89,75,9.22,broken clouds
195,Yerbogachen,RU,61.2767,108.0108,44.71,88,29,8.14,scattered clouds
196,Ghatanji,IN,20.1333,78.3167,78.08,84,42,6.73,scattered clouds
197,El Tejar,GT,14.6478,-90.7928,66.6,75,39,1.7,scattered clouds
198,Maragogi,BR,-9.0122,-35.2225,78.42,67,91,13.51,overcast clouds
199,Cidreira,BR,-30.1811,-50.2056,71.92,65,7,2.51,clear sky
200,Ulcinj,ME,41.9294,19.2244,95.22,51,0,13.11,clear sky
201,Esil,KZ,51.9556,66.4042,73.35,47,8,6.13,clear sky
202,Victor Harbor,AU,-35.5667,138.6167,51.67,92,100,6.78,overcast clouds
203,Lavrentiya,RU,65.5833,-171.0,41.02,98,100,1.39,overcast clouds
